Sample;Drug;Status;Model;ED;Estimate;Std. Error
OVCAR-8 R2;Abemaciclib (LY2835219);responder;LL.4;10;11785,5457438474;NA
OVCAR-8 R2;Abemaciclib (LY2835219);responder;LL.4;50;17224,7502277105;NA
OVCAR-8 R2;Abemaciclib (LY2835219);responder;LL.4;90;25174,2284027788;NA
OVCAR-8 R2;Adavosertib (MK-1775);responder;LL.4;10;331,99174431702;114,669361119078
OVCAR-8 R2;Adavosertib (MK-1775);responder;LL.4;50;895,954045552654;173,079979826629
OVCAR-8 R2;Adavosertib (MK-1775);responder;LL.4;90;2417,93257056307;1371,40899442974
OVCAR-8 R2;Afatinib (BIBW2992);responder;LL.4;10;2284,35568736442;474,957279162777
OVCAR-8 R2;Afatinib (BIBW2992);responder;LL.4;50;5566,77864812074;672,027423735571
OVCAR-8 R2;Afatinib (BIBW2992);responder;LL.4;90;13565,7615355543;3851,90035622377
OVCAR-8 R2;Alectinib (CH5424802);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Alpelisib (BYL719);non-responder;lm;NA;NA;NA
OVCAR-8 R2;AZD7762;responder;LL.4;10;127,569576178478;66,9387608000128
OVCAR-8 R2;AZD7762;responder;LL.4;50;345,859018637057;49,8414659165705
OVCAR-8 R2;AZD7762;responder;LL.4;90;937,672322476276;608,194744907673
OVCAR-8 R2;AZD8055;responder;LL.4;10;75,2414353421053;118,111952456789
OVCAR-8 R2;AZD8055;responder;LL.4;50;158,481765382745;46,0945159820835
OVCAR-8 R2;AZD8055;responder;LL.4;90;333,811680288031;709,201252406476
OVCAR-8 R2;Binimetinib (MEK162);responder;LL.4;10;3742,65978061912;11059,022610686
OVCAR-8 R2;Binimetinib (MEK162);responder;LL.4;50;8543,17394018128;3404,50926262462
OVCAR-8 R2;Binimetinib (MEK162);responder;LL.4;90;19501,0568019407;65674,2222439839
OVCAR-8 R2;Carboplatin (NSC 241240);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Cerdulatinib (PRT062070, PRT2070);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Cobimetinib;responder;LL.4;10;50,1883135026935;50,4980010373118
OVCAR-8 R2;Cobimetinib;responder;LL.4;50;535,804026263575;309,832927058934
OVCAR-8 R2;Cobimetinib;responder;LL.4;90;5720,17536602123;7877,41541777936
OVCAR-8 R2;Crizotinib (PF-02341066);responder;LL.4;10;3900,17656728971;866,113676323368
OVCAR-8 R2;Crizotinib (PF-02341066);responder;LL.4;50;9136,49213934222;1209,8731312999
OVCAR-8 R2;Crizotinib (PF-02341066);responder;LL.4;90;21403,0024466997;6153,16978999528
OVCAR-8 R2;Cucurbitacin I (JSI-124);responder;LL.4;10;177,319553434239;58,3102845591719
OVCAR-8 R2;Cucurbitacin I (JSI-124);responder;LL.4;50;858,04098604401;120,228596810836
OVCAR-8 R2;Cucurbitacin I (JSI-124);responder;LL.4;90;4152,02000835411;1574,20766031778
OVCAR-8 R2;Dabrafenib ;non-responder;lm;NA;NA;NA
OVCAR-8 R2;Dasatinib (BMS-354825);responder;LL.4;10;6,28083714105412;10,3539553262908
OVCAR-8 R2;Dasatinib (BMS-354825);responder;LL.4;50;55,9151979715087;33,9392627568953
OVCAR-8 R2;Dasatinib (BMS-354825);responder;LL.4;90;497,785453432135;1165,32729906047
OVCAR-8 R2;Defactinib (VS-6063, PF-04554878);responder;LL.4;10;18753,8571103624;NA
OVCAR-8 R2;Defactinib (VS-6063, PF-04554878);responder;LL.4;50;21569,0650543589;NA
OVCAR-8 R2;Defactinib (VS-6063, PF-04554878);responder;LL.4;90;24806,873838348;111474,801711067
OVCAR-8 R2;Dexamethasone;non-responder;lm;NA;NA;NA
OVCAR-8 R2;Entrektinib (RXDX-101);responder;LL.4;10;3819,47166021121;1035,28652742053
OVCAR-8 R2;Entrektinib (RXDX-101);responder;LL.4;50;6459,42814155922;1054,1113213633
OVCAR-8 R2;Entrektinib (RXDX-101);responder;LL.4;90;10924,0794612049;2187,85443080602
OVCAR-8 R2;Erlotinib;responder;LL.4;10;6219,51601938755;9365,89845883172
OVCAR-8 R2;Erlotinib;responder;LL.4;50;8297,90518595762;4883,3114186844
OVCAR-8 R2;Erlotinib;responder;LL.4;90;11070,8341711005;3915,21808535844
OVCAR-8 R2;Everolimus (RAD001);non-responder;lm;NA;NA;NA
OVCAR-8 R2;Flavopiridol (L86-8275) HCl;responder;LL.4;10;76,3411616287092;12,6026018778637
OVCAR-8 R2;Flavopiridol (L86-8275) HCl;responder;LL.4;50;157,358002292973;15,6598744667158
OVCAR-8 R2;Flavopiridol (L86-8275) HCl;responder;LL.4;90;324,353734700354;44,4170013872287
OVCAR-8 R2;Fludarabine (Fludara);responder;LL.4;10;1207,26992495331;682,693432964619
OVCAR-8 R2;Fludarabine (Fludara);responder;LL.4;50;4067,50058575495;1213,22251059404
OVCAR-8 R2;Fludarabine (Fludara);responder;LL.4;90;13704,110964047;10186,3282030507
