Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R1;PID3-0726A1;1;A;2762;Olaparib (AZD2281);763113-22-0;5000;nM;5;M006;E6;B2;1819760
OVCAR-8 R1;PID3-0726A1;1;A;2762;Defactinib (VS-6063, PF-04554878);1073154-85-4;5000;nM;5;M006;B13;B2;1819760
OVCAR-8 R1;PID3-0726A1;1;A;307;Sorafenib (Nexavar);284461-73-0;500;nM;5;M006;F20;B3;1812360
OVCAR-8 R1;PID3-0726A1;1;A;307;Carboplatin (NSC 241240);41575-94-4;10000;nM;5;M006;L2;B3;1812360
OVCAR-8 R1;PID3-0726A1;1;A;1803;Trametinib (GSK1120212);871700-17-3;8;nM;5;M006;G5;B4;540280
OVCAR-8 R1;PID3-0726A1;1;A;1803;Panobinostat (LBH589);404950-80-7;400;nM;5;M006;E21;B4;540280
OVCAR-8 R1;PID3-0726A1;1;A;2498;Paclitaxel (NSC 125973);33069-62-4;0.9765625;nM;5;M006;E14;B5;1266560
OVCAR-8 R1;PID3-0726A1;1;A;2498;Selumetinib (AZD6244);606143-52-6;10000;nM;5;M006;F11;B5;1266560
OVCAR-8 R1;PID3-0726A1;1;A;126;Carboplatin (NSC 241240);41575-94-4;10000;nM;5;M006;L2;B6;1292000
OVCAR-8 R1;PID3-0726A1;1;A;126;Binimetinib (MEK162);606143-89-9;10000;nM;5;M006;A6;B6;1292000
OVCAR-8 R1;PID3-0726A1;1;A;2102;Paclitaxel (NSC 125973);33069-62-4;7.8125;nM;5;M006;E13;B7;1589200
OVCAR-8 R1;PID3-0726A1;1;A;2102;Gedatolisib (PKI-587);1197160-78-3;500;nM;5;M006;I20;B7;1589200
OVCAR-8 R1;PID3-0726A1;1;A;2477;DMSO;67-68-5;0.2;%;5;C008;A16;B8;2408160
OVCAR-8 R1;PID3-0726A1;1;A;2477;Quinacrine;83-89-6;625;nM;5;M006;J24;B8;2408160
OVCAR-8 R1;PID3-0726A1;1;A;2528;Erlotinib;183321-74-6;156.25;nM;5;M006;C6;B9;1473080
OVCAR-8 R1;PID3-0726A1;1;A;2528;Trametinib (GSK1120212);871700-17-3;800;nM;5;M006;G3;B9;1473080
OVCAR-8 R1;PID3-0726A1;1;A;450;Paclitaxel (NSC 125973);33069-62-4;62.5;nM;5;M006;E12;B10;768880
OVCAR-8 R1;PID3-0726A1;1;A;450;Cobimetinib;934660-93-2;204.0816;nM;5;M006;A18;B10;768880
OVCAR-8 R1;PID3-0726A1;1;A;2385;DMSO;67-68-5;0.2;%;5;C008;A18;B11;2335160
OVCAR-8 R1;PID3-0726A1;1;A;2385;Navitoclax (ABT-263);923564-51-6;625;nM;5;M006;D18;B11;2335160
OVCAR-8 R1;PID3-0726A1;1;A;1332;Niraparib (MK-4827);1038915-60-4;625;nM;5;M006;E4;B12;1961320
OVCAR-8 R1;PID3-0726A1;1;A;1332;Binimetinib (MEK162);606143-89-9;4.164931;nM;5;M006;A10;B12;1961320
OVCAR-8 R1;PID3-0726A1;1;A;2342;LJH-685;1627710-50-2;1250;nM;5;M006;J8;B13;1951320
OVCAR-8 R1;PID3-0726A1;1;A;2342;Carboplatin (NSC 241240);41575-94-4;5000;nM;5;M006;L3;B13;1951320
OVCAR-8 R1;PID3-0726A1;1;A;1846;DMSO;67-68-5;0.2;%;5;C008;A23;B14;1967480
OVCAR-8 R1;PID3-0726A1;1;A;1846;Selumetinib (AZD6244);606143-52-6;370.3704;nM;5;M006;F14;B14;1967480
OVCAR-8 R1;PID3-0726A1;1;A;2106;Carboplatin (NSC 241240);41575-94-4;10000;nM;5;M006;L2;B15;1725680
OVCAR-8 R1;PID3-0726A1;1;A;2106;Temsirolimus (CCI-779);162635-04-3;1000;nM;5;M006;F21;B15;1725680
OVCAR-8 R1;PID3-0726A1;1;A;1235;DMSO;67-68-5;0.2;%;5;C008;A14;B16;1972680
OVCAR-8 R1;PID3-0726A1;1;A;1235;Fludarabine (Fludara);21679-14-1;625;nM;5;M006;C17;B16;1972680
OVCAR-8 R1;PID3-0726A1;1;A;1211;Temsirolimus (CCI-779);162635-04-3;10;nM;5;M006;F23;B17;1820280
OVCAR-8 R1;PID3-0726A1;1;A;1211;Niraparib (MK-4827);1038915-60-4;2500;nM;5;M006;E2;B17;1820280
OVCAR-8 R1;PID3-0726A1;1;A;2617;Gedatolisib (PKI-587);1197160-78-3;20;nM;5;M006;I22;B18;1962240
OVCAR-8 R1;PID3-0726A1;1;A;2617;Olaparib (AZD2281);763113-22-0;5000;nM;5;M006;E6;B18;1962240
OVCAR-8 R1;PID3-0726A1;1;A;1358;Nutlin-3a;675576-98-4;10000;nM;5;M006;J15;B19;1327160
OVCAR-8 R1;PID3-0726A1;1;A;1358;Olaparib (AZD2281);763113-22-0;10000;nM;5;M006;E5;B19;1327160
OVCAR-8 R1;PID3-0726A1;1;A;597;Paclitaxel (NSC 125973);33069-62-4;0.9765625;nM;5;M006;E14;B20;2832400
OVCAR-8 R1;PID3-0726A1;1;A;597;Ruxolitinib (INCB018424);941678-49-5;10000;nM;5;M006;F6;B20;2832400
OVCAR-8 R1;PID3-0726A1;1;A;651;Pictilisib (GDC-0941);957054-30-7;10000;nM;5;M006;F1;B21;933000
OVCAR-8 R1;PID3-0726A1;1;A;651;Niraparib (MK-4827);1038915-60-4;10000;nM;5;M006;D24;B21;933000
OVCAR-8 R1;PID3-0726A1;1;A;491;Vismodegib (GDC-0449);879085-55-9;5000;nM;5;M006;K17;B22;1156600
OVCAR-8 R1;PID3-0726A1;1;A;491;Paclitaxel (NSC 125973);33069-62-4;500;nM;5;M006;E11;B22;1156600
OVCAR-8 R1;PID3-0726A1;1;A;606;Panobinostat (LBH589);404950-80-7;16;nM;5;M006;E23;B23;861160
