Sample;Destination.Plate.Barcode;Dispensing.Set;Plate.Number;Combination.ID;Drug;Solvent;Drug.Concentration;Unit;Destination.Well;CPS;NORM;Viability;Viability (%);Inhibition;Inhibition (%)
OVCAR-8 R1;PID3-0726A1;A;1;2762;Olaparib (AZD2281);DMSO;5000;nM;B2;1819760;1599560;0,684772464574682;68,4772464574682;0,315227535425318;31,5227535425318
OVCAR-8 R1;PID3-0726A1;A;1;2762;Defactinib (VS-6063, PF-04554878);DMSO;5000;nM;B2;1819760;1599560;0,684772464574682;68,4772464574682;0,315227535425318;31,5227535425318
OVCAR-8 R1;PID3-0726A1;A;1;307;Sorafenib (Nexavar);DMSO;500;nM;B3;1812360;1592160;0,671848494822392;67,1848494822392;0,328151505177608;32,8151505177608
OVCAR-8 R1;PID3-0726A1;A;1;307;Carboplatin (NSC 241240);H2O;10000;nM;B3;1812360;1592160;0,671848494822392;67,1848494822392;0,328151505177608;32,8151505177608
OVCAR-8 R1;PID3-0726A1;A;1;1803;Trametinib (GSK1120212);DMSO;8;nM;B4;540280;320080;0,137026413801961;13,7026413801961;0,862973586198039;86,2973586198039
OVCAR-8 R1;PID3-0726A1;A;1;1803;Panobinostat (LBH589);DMSO;400;nM;B4;540280;320080;0,137026413801961;13,7026413801961;0,862973586198039;86,2973586198039
OVCAR-8 R1;PID3-0726A1;A;1;2498;Paclitaxel (NSC 125973);DMSO;0,9765625;nM;B5;1266560;1046360;0,447947258016182;44,7947258016182;0,552052741983818;55,2052741983818
OVCAR-8 R1;PID3-0726A1;A;1;2498;Selumetinib (AZD6244);DMSO;10000;nM;B5;1266560;1046360;0,447947258016182;44,7947258016182;0,552052741983818;55,2052741983818
OVCAR-8 R1;PID3-0726A1;A;1;126;Carboplatin (NSC 241240);H2O;10000;nM;B6;1292000;1071800;0,452270636588433;45,2270636588433;0,547729363411567;54,7729363411567
OVCAR-8 R1;PID3-0726A1;A;1;126;Binimetinib (MEK162);DMSO;10000;nM;B6;1292000;1071800;0,452270636588433;45,2270636588433;0,547729363411567;54,7729363411567
OVCAR-8 R1;PID3-0726A1;A;1;2102;Paclitaxel (NSC 125973);DMSO;7,8125;nM;B7;1589200;1369000;0,586069609144227;58,6069609144227;0,413930390855773;41,3930390855773
OVCAR-8 R1;PID3-0726A1;A;1;2102;Gedatolisib (PKI-587);DMSO;500;nM;B7;1589200;1369000;0,586069609144227;58,6069609144227;0,413930390855773;41,3930390855773
OVCAR-8 R1;PID3-0726A1;A;1;2477;Quinacrine;DMSO;625;nM;B8;2408160;2187960;0,936666809366839;93,6666809366839;0,0633331906331607;6,33331906331607
OVCAR-8 R1;PID3-0726A1;A;1;2528;Erlotinib;DMSO;156,25;nM;B9;1473080;1252880;0,536358576993878;53,6358576993878;0,463641423006122;46,3641423006122
OVCAR-8 R1;PID3-0726A1;A;1;2528;Trametinib (GSK1120212);DMSO;800;nM;B9;1473080;1252880;0,536358576993878;53,6358576993878;0,463641423006122;46,3641423006122
OVCAR-8 R1;PID3-0726A1;A;1;450;Paclitaxel (NSC 125973);DMSO;62,5;nM;B10;768880;548680;0,234890192217133;23,4890192217133;0,765109807782867;76,5109807782867
OVCAR-8 R1;PID3-0726A1;A;1;450;Cobimetinib;DMSO;204,0816;nM;B10;768880;548680;0,234890192217133;23,4890192217133;0,765109807782867;76,5109807782867
OVCAR-8 R1;PID3-0726A1;A;1;2385;Navitoclax (ABT-263);DMSO;625;nM;B11;2335160;2114960;0,905415471552721;90,5415471552721;0,0945845284472794;9,45845284472794
OVCAR-8 R1;PID3-0726A1;A;1;1332;Niraparib (MK-4827);DMSO;625;nM;B12;1961320;1741120;0,745374373902992;74,5374373902992;0,254625626097008;25,4625626097008
OVCAR-8 R1;PID3-0726A1;A;1;1332;Binimetinib (MEK162);DMSO;4,164931;nM;B12;1961320;1741120;0,745374373902992;74,5374373902992;0,254625626097008;25,4625626097008
OVCAR-8 R1;PID3-0726A1;A;1;2342;LJH-685;DMSO;1250;nM;B13;1951320;1731120;0,730485859685546;73,0485859685546;0,269514140314454;26,9514140314454
OVCAR-8 R1;PID3-0726A1;A;1;2342;Carboplatin (NSC 241240);H2O;5000;nM;B13;1951320;1731120;0,730485859685546;73,0485859685546;0,269514140314454;26,9514140314454
OVCAR-8 R1;PID3-0726A1;A;1;1846;Selumetinib (AZD6244);DMSO;370,3704;nM;B14;1967480;1747280;0,748011473093882;74,8011473093883;0,251988526906118;25,1988526906117
OVCAR-8 R1;PID3-0726A1;A;1;2106;Carboplatin (NSC 241240);H2O;10000;nM;B15;1725680;1505480;0,635271877188985;63,5271877188985;0,364728122811015;36,4728122811015
OVCAR-8 R1;PID3-0726A1;A;1;2106;Temsirolimus (CCI-779);DMSO;1000;nM;B15;1725680;1505480;0,635271877188985;63,5271877188985;0,364728122811015;36,4728122811015
OVCAR-8 R1;PID3-0726A1;A;1;1235;Fludarabine (Fludara);DMSO;625;nM;B16;1972680;1752480;0,750237595787491;75,0237595787491;0,249762404212509;24,9762404212509
OVCAR-8 R1;PID3-0726A1;A;1;1211;Temsirolimus (CCI-779);DMSO;10;nM;B17;1820280;1600080;0,684995076844043;68,4995076844043;0,315004923155957;31,5004923155957
OVCAR-8 R1;PID3-0726A1;A;1;1211;Niraparib (MK-4827);DMSO;2500;nM;B17;1820280;1600080;0,684995076844043;68,4995076844043;0,315004923155957;31,5004923155957
OVCAR-8 R1;PID3-0726A1;A;1;2617;Gedatolisib (PKI-587);DMSO;20;nM;B18;1962240;1742040;0,745768226379554;74,5768226379554;0,254231773620446;25,4231773620446
OVCAR-8 R1;PID3-0726A1;A;1;2617;Olaparib (AZD2281);DMSO;5000;nM;B18;1962240;1742040;0,745768226379554;74,5768226379554;0,254231773620446;25,4231773620446
OVCAR-8 R1;PID3-0726A1;A;1;1358;Nutlin-3a;DMSO;10000;nM;B19;1327160;1106960;0,473890149407081;47,3890149407081;0,526109850592919;52,6109850592919
OVCAR-8 R1;PID3-0726A1;A;1;1358;Olaparib (AZD2281);DMSO;10000;nM;B19;1327160;1106960;0,473890149407081;47,3890149407081;0,526109850592919;52,6109850592919
OVCAR-8 R1;PID3-0726A1;A;1;597;Paclitaxel (NSC 125973);DMSO;0,9765625;nM;B20;2832400;2612200;1,11828417312385;111,828417312385;-0,11828417312385;-11,828417312385
OVCAR-8 R1;PID3-0726A1;A;1;597;Ruxolitinib (INCB018424);DMSO;10000;nM;B20;2832400;2612200;1,11828417312385;111,828417312385;-0,11828417312385;-11,828417312385
OVCAR-8 R1;PID3-0726A1;A;1;651;Pictilisib (GDC-0941);DMSO;10000;nM;B21;933000;712800;0,30515004923156;30,515004923156;0,69484995076844;69,484995076844
OVCAR-8 R1;PID3-0726A1;A;1;651;Niraparib (MK-4827);DMSO;10000;nM;B21;933000;712800;0,30515004923156;30,515004923156;0,69484995076844;69,484995076844
OVCAR-8 R1;PID3-0726A1;A;1;491;Vismodegib (GDC-0449);DMSO;5000;nM;B22;1156600;936400;0,400873325056723;40,0873325056723;0,599126674943277;59,9126674943277
OVCAR-8 R1;PID3-0726A1;A;1;491;Paclitaxel (NSC 125973);DMSO;500;nM;B22;1156600;936400;0,400873325056723;40,0873325056723;0,599126674943277;59,9126674943277
OVCAR-8 R1;PID3-0726A1;A;1;606;Panobinostat (LBH589);DMSO;16;nM;B23;861160;640960;0,274395308018323;27,4395308018323;0,725604691981677;72,5604691981677
OVCAR-8 R1;PID3-0726A1;A;1;606;Paclitaxel (NSC 125973);DMSO;500;nM;B23;861160;640960;0,274395308018323;27,4395308018323;0,725604691981677;72,5604691981677
OVCAR-8 R1;PID3-0726A1;A;1;16;Dasatinib (BMS-354825);DMSO;10000;nM;B24;982840;762640;0,326486579048761;32,6486579048761;0,673513420951239;67,3513420951239
OVCAR-8 R1;PID3-0726A1;A;1;2979;Nutlin-3a;DMSO;5000;nM;B25;2391560;2171360;0,929560340768012;92,9560340768012;0,0704396592319877;7,04396592319877
OVCAR-8 R1;PID3-0726A1;A;1;1924;Carboplatin (NSC 241240);H2O;10000;nM;B26;368880;148680;0,0627389421981416;6,27389421981416;0,937261057801858;93,7261057801858
OVCAR-8 R1;PID3-0726A1;A;1;1924;Cucurbitacin I (JSI-124);DMSO;6000;nM;B26;368880;148680;0,0627389421981416;6,27389421981416;0,937261057801858;93,7261057801858
OVCAR-8 R1;PID3-0726A1;A;1;1469;Cobimetinib;DMSO;20000;nM;B27;458880;238680;0,102179031636628;10,2179031636628;0,897820968363372;89,7820968363372
OVCAR-8 R1;PID3-0726A1;A;1;2032;Selpercatinib (LOXO-292);DMSO;5000;nM;B28;1403800;1183600;0,506699773106725;50,6699773106725;0,493300226893275;49,3300226893275
OVCAR-8 R1;PID3-0726A1;A;1;2032;Trametinib (GSK1120212);DMSO;800;nM;B28;1403800;1183600;0,506699773106725;50,6699773106725;0,493300226893275;49,3300226893275
OVCAR-8 R1;PID3-0726A1;A;1;90;Niraparib (MK-4827);DMSO;625;nM;B29;1021840;801640;0,343182499250824;34,3182499250824;0,656817500749176;65,6817500749176
OVCAR-8 R1;PID3-0726A1;A;1;90;Pictilisib (GDC-0941);DMSO;10000;nM;B29;1021840;801640;0,343182499250824;34,3182499250824;0,656817500749176;65,6817500749176
OVCAR-8 R1;PID3-0726A1;A;1;2179;Niraparib (MK-4827);DMSO;1250;nM;B30;2250480;2030280;0,869163919688343;86,9163919688343;0,130836080311657;13,0836080311657
OVCAR-8 R1;PID3-0726A1;A;1;2179;Vismodegib (GDC-0449);DMSO;5000;nM;B30;2250480;2030280;0,869163919688343;86,9163919688343;0,130836080311657;13,0836080311657
OVCAR-8 R1;PID3-0726A1;A;1;285;Dexamethasone;DMSO;1250;nM;B31;2345160;2124960;0,909696476732737;90,9696476732737;0,0903035232672632;9,03035232672632
OVCAR-8 R1;PID3-0726A1;A;1;794;Abemaciclib (LY2835219);DMSO;2000;nM;B32;1699000;1478800;0,633075046020806;63,3075046020806;0,366924953979194;36,6924953979194
OVCAR-8 R1;PID3-0726A1;A;1;794;Paclitaxel (NSC 125973);DMSO;500;nM;B32;1699000;1478800;0,633075046020806;63,3075046020806;0,366924953979194;36,6924953979194
OVCAR-8 R1;PID3-0726A1;A;1;379;Dabrafenib ;DMSO;2500;nM;B33;2713320;2493120;1,06730596344022;106,730596344022;-0,0673059634402158;-6,73059634402158
OVCAR-8 R1;PID3-0726A1;A;1;571;Vemurafenib (PLX4032);DMSO;2500;nM;B34;2785760;2565560;1,09831756496425;109,831756496425;-0,0983175649642536;-9,83175649642536
OVCAR-8 R1;PID3-0726A1;A;1;2516;Carboplatin (NSC 241240);H2O;2500;nM;B35;2693160;2472960;1,04352229283237;104,352229283237;-0,0435222928323671;-4,35222928323671
OVCAR-8 R1;PID3-0726A1;A;1;2516;Simvastatin (MK 733);DMSO;2500;nM;B35;2693160;2472960;1,04352229283237;104,352229283237;-0,0435222928323671;-4,35222928323671
OVCAR-8 R1;PID3-0726A1;A;1;2292;Adavosertib (MK-1775);DMSO;98,76543;nM;B36;2542400;2322200;0,994135022903378;99,4135022903378;0,00586497709662226;0,586497709662225
OVCAR-8 R1;PID3-0726A1;A;1;823;Vemurafenib (PLX4032);DMSO;625;nM;B37;2301720;2081520;0,891099790230746;89,1099790230746;0,108900209769254;10,8900209769254
OVCAR-8 R1;PID3-0726A1;A;1;2744;Carboplatin (NSC 241240);H2O;625;nM;B38;390640;170440;0,0719210741744099;7,19210741744099;0,92807892582559;92,807892582559
OVCAR-8 R1;PID3-0726A1;A;1;2744;Entrektinib (RXDX-101);DMSO;10000;nM;B38;390640;170440;0,0719210741744099;7,19210741744099;0,92807892582559;92,807892582559
OVCAR-8 R1;PID3-0726A1;A;1;2900;Carboplatin (NSC 241240);H2O;20000;nM;B39;2039640;1819440;0,732705643569939;73,2705643569938;0,267294356430061;26,7294356430062
OVCAR-8 R1;PID3-0726A1;A;1;2471;Cobimetinib;DMSO;29,15452;nM;B40;2000320;1780120;0,762070294105056;76,2070294105056;0,237929705894944;23,7929705894944
OVCAR-8 R1;PID3-0726A1;A;1;3290;Palbociclib;DMSO;625;nM;B41;2559560;2339360;1,00148122779229;100,148122779229;-0,00148122779228554;-0,148122779228558
OVCAR-8 R1;PID3-0726A1;A;1;3290;Paclitaxel (NSC 125973);DMSO;0,9765625;nM;B41;2559560;2339360;1,00148122779229;100,148122779229;-0,00148122779228554;-0,148122779228558
OVCAR-8 R1;PID3-0726A1;A;1;1297;Untreated;Untreated;0;NA;B42;2521560;2443160;1;100;0;0
OVCAR-8 R1;PID3-0726A1;A;1;2493;Erlotinib;DMSO;39,0625;nM;B43;1079560;859360;0,367892461149878;36,7892461149878;0,632107538850122;63,2107538850122
OVCAR-8 R1;PID3-0726A1;A;1;2493;Paclitaxel (NSC 125973);DMSO;4000;nM;B43;1079560;859360;0,367892461149878;36,7892461149878;0,632107538850122;63,2107538850122
OVCAR-8 R1;PID3-0726A1;A;1;2433;Flunarizine 2HCl;DMSO;10000;nM;B44;2142760;1922560;0,823048931889208;82,3048931889208;0,176951068110792;17,6951068110792
OVCAR-8 R1;PID3-0726A1;A;1;25;Carboplatin (NSC 241240);H2O;5000;nM;B45;1884080;1663880;0,702112396722114;70,2112396722114;0,297887603277886;29,7887603277886
OVCAR-8 R1;PID3-0726A1;A;1;25;Navitoclax (ABT-263);DMSO;5000;nM;B45;1884080;1663880;0,702112396722114;70,2112396722114;0,297887603277886;29,7887603277886
OVCAR-8 R1;PID3-0726A1;A;1;860;Simvastatin (MK 733);DMSO;10000;nM;B46;1639040;1418840;0,607406138961428;60,7406138961428;0,392593861038572;39,2593861038572
OVCAR-8 R1;PID3-0726A1;A;1;860;Niraparib (MK-4827);DMSO;10000;nM;B46;1639040;1418840;0,607406138961428;60,7406138961428;0,392593861038572;39,2593861038572
OVCAR-8 R1;PID3-0726A1;A;1;1160;Ruxolitinib (INCB018424);DMSO;5000;nM;B47;2752720;2532520;1,08417312384948;108,417312384948;-0,0841731238494798;-8,41731238494799
OVCAR-8 R1;PID3-0726A1;A;1;1160;Olaparib (AZD2281);DMSO;5000;nM;B47;2752720;2532520;1,08417312384948;108,417312384948;-0,0841731238494798;-8,41731238494799
OVCAR-8 R1;PID3-0726A1;A;1;2871;Trametinib (GSK1120212);DMSO;800;nM;C2;1221760;1001560;0,428768354809709;42,8768354809709;0,571231645190291;57,1231645190291
OVCAR-8 R1;PID3-0726A1;A;1;2871;Dexamethasone;DMSO;5000;nM;C2;1221760;1001560;0,428768354809709;42,8768354809709;0,571231645190291;57,1231645190291
OVCAR-8 R1;PID3-0726A1;A;1;1798;Trametinib (GSK1120212);DMSO;16000;nM;C3;1304000;1083800;0,463975341410163;46,3975341410163;0,536024658589837;53,6024658589837
OVCAR-8 R1;PID3-0726A1;A;1;2623;Olaparib (AZD2281);DMSO;5000;nM;C4;1795880;1575680;0,674549424204803;67,4549424204803;0,325450575795197;32,5450575795197
OVCAR-8 R1;PID3-0726A1;A;1;2623;MK-2206 2HCl;DMSO;2000;nM;C4;1795880;1575680;0,674549424204803;67,4549424204803;0,325450575795197;32,5450575795197
OVCAR-8 R1;PID3-0726A1;A;1;732;Nutlin-3a;DMSO;625;nM;C5;1176520;956320;0,409401087375316;40,9401087375316;0,590598912624684;59,0598912624684
OVCAR-8 R1;PID3-0726A1;A;1;732;Trametinib (GSK1120212);DMSO;8000;nM;C5;1176520;956320;0,409401087375316;40,9401087375316;0,590598912624684;59,0598912624684
OVCAR-8 R1;PID3-0726A1;A;1;746;Trametinib (GSK1120212);DMSO;8;nM;C6;1240960;1020760;0,436987884755341;43,6987884755341;0,563012115244659;56,3012115244659
OVCAR-8 R1;PID3-0726A1;A;1;746;Temsirolimus (CCI-779);DMSO;100;nM;C6;1240960;1020760;0,436987884755341;43,6987884755341;0,563012115244659;56,3012115244659
OVCAR-8 R1;PID3-0726A1;A;1;34;Defactinib (VS-6063, PF-04554878);DMSO;2500;nM;C7;2281680;2061480;0,882520655849994;88,2520655849994;0,117479344150006;11,7479344150006
OVCAR-8 R1;PID3-0726A1;A;1;1290;Cerdulatinib (PRT062070, PRT2070);DMSO;625;nM;C8;2652080;2431880;1,0410890877178;104,10890877178;-0,0410890877177961;-4,10890877177961
OVCAR-8 R1;PID3-0726A1;A;1;1460;Niraparib (MK-4827);DMSO;1250;nM;C9;2003920;1783720;0,763611455969862;76,3611455969862;0,236388544030138;23,6388544030138
OVCAR-8 R1;PID3-0726A1;A;1;1460;Niclosamide (BAY2353);DMSO;156,25;nM;C9;2003920;1783720;0,763611455969862;76,3611455969862;0,236388544030138;23,6388544030138
OVCAR-8 R1;PID3-0726A1;A;1;3302;Venetoclax (ABT-199);DMSO;625;nM;C10;1500120;1279920;0,547934415000642;54,7934415000642;0,452065584999358;45,2065584999358
OVCAR-8 R1;PID3-0726A1;A;1;3302;Olaparib (AZD2281);DMSO;625;nM;C10;1500120;1279920;0,547934415000642;54,7934415000642;0,452065584999358;45,2065584999358
OVCAR-8 R1;PID3-0726A1;A;1;2619;Pertuzumab (anti-HER2);DMSO;20000;nM;C11;2505440;2285240;0,978312427758038;97,8312427758038;0,0216875722419624;2,16875722419624
