Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R2;PID3-0726B3;3;B;138;BzCl;121-54-0;100;μM;5;C008;B1;I44;177640
OVCAR-8 R2;PID3-0726B2;2;B;270;BzCl;121-54-0;100;μM;5;C008;B2;F16;716680
OVCAR-8 R2;PID3-0726B1;1;B;286;BzCl;121-54-0;100;μM;5;C008;B3;O5;656680
OVCAR-8 R2;PID3-0726B3;3;B;516;BzCl;121-54-0;100;μM;5;C008;B4;N39;203960
OVCAR-8 R2;PID3-0726B1;1;B;855;BzCl;121-54-0;100;μM;5;C008;B5;S16;175920
OVCAR-8 R2;PID3-0726B1;1;B;899;BzCl;121-54-0;100;μM;5;C008;B6;C37;243160
OVCAR-8 R2;PID3-0726B3;3;B;965;BzCl;121-54-0;100;μM;5;C008;B7;I45;369080
OVCAR-8 R2;PID3-0726B1;1;B;966;BzCl;121-54-0;100;μM;5;C008;B8;AA7;410680
OVCAR-8 R2;PID3-0726B2;2;B;1383;BzCl;121-54-0;100;μM;5;C008;B9;AB44;404000
OVCAR-8 R2;PID3-0726B1;1;B;1721;BzCl;121-54-0;100;μM;5;C008;B10;AC22;399600
OVCAR-8 R2;PID3-0726B3;3;B;1791;BzCl;121-54-0;100;μM;5;C008;B11;N18;402440
OVCAR-8 R2;PID3-0726B3;3;B;1845;BzCl;121-54-0;100;μM;5;C008;B12;Q8;573840
OVCAR-8 R2;PID3-0726B2;2;B;1928;BzCl;121-54-0;100;μM;5;C008;B13;E7;792040
OVCAR-8 R2;PID3-0726B2;2;B;2049;BzCl;121-54-0;100;μM;5;C008;B14;N17;593680
OVCAR-8 R2;PID3-0726B2;2;B;2198;BzCl;121-54-0;100;μM;5;C008;B15;AB23;298760
OVCAR-8 R2;PID3-0726B3;3;B;2226;BzCl;121-54-0;100;μM;5;C008;B16;O15;213520
OVCAR-8 R2;PID3-0726B3;3;B;2252;BzCl;121-54-0;100;μM;5;C008;B17;I28;644920
OVCAR-8 R2;PID3-0726B2;2;B;2315;BzCl;121-54-0;100;μM;5;C008;B18;Q26;123200
OVCAR-8 R2;PID3-0726B1;1;B;2481;BzCl;121-54-0;100;μM;5;C008;B19;AE15;498640
OVCAR-8 R2;PID3-0726B2;2;B;2483;BzCl;121-54-0;100;μM;5;C008;B20;K24;388600
OVCAR-8 R2;PID3-0726B1;1;B;2661;BzCl;121-54-0;100;μM;5;C008;B21;U23;220320
OVCAR-8 R2;PID3-0726B3;3;B;2908;BzCl;121-54-0;100;μM;5;C008;B22;J31;387240
OVCAR-8 R2;PID3-0726B2;2;B;2916;BzCl;121-54-0;100;μM;5;C008;B23;Q29;212520
OVCAR-8 R2;PID3-0726B1;1;B;3271;BzCl;121-54-0;100;μM;5;C008;B24;Z41;493080
