Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R2;PID3-0726B2;2;B;231;DMSO;67-68-5;0,1;%;5;C008;A10;AB39;4462880
OVCAR-8 R2;PID3-0726B2;2;B;231;H2O;7732-18-5;50;%;5;C008;C1;AB39;4462880
OVCAR-8 R2;PID3-0726B2;2;B;451;DMSO;67-68-5;0,1;%;5;C008;A7;M6;3522440
OVCAR-8 R2;PID3-0726B2;2;B;451;H2O;7732-18-5;50;%;5;C008;C5;M6;3522440
OVCAR-8 R2;PID3-0726B1;1;B;552;DMSO;67-68-5;0,1;%;5;C008;A8;P33;3942880
OVCAR-8 R2;PID3-0726B1;1;B;552;H2O;7732-18-5;50;%;5;C008;C8;P33;3942880
OVCAR-8 R2;PID3-0726B3;3;B;693;DMSO;67-68-5;0,1;%;5;C008;A22;H33;3790600
OVCAR-8 R2;PID3-0726B3;3;B;693;H2O;7732-18-5;50;%;5;C008;C10;H33;3790600
OVCAR-8 R2;PID3-0726B2;2;B;984;DMSO;67-68-5;0,1;%;5;C008;A24;X2;3804280
OVCAR-8 R2;PID3-0726B2;2;B;984;H2O;7732-18-5;50;%;5;C008;C12;X2;3804280
OVCAR-8 R2;PID3-0726B2;2;B;1008;DMSO;67-68-5;0,1;%;5;C008;A9;K9;3712920
OVCAR-8 R2;PID3-0726B2;2;B;1008;H2O;7732-18-5;50;%;5;C008;C13;K9;3712920
OVCAR-8 R2;PID3-0726B1;1;B;1404;DMSO;67-68-5;0,1;%;5;C008;A2;C45;3843680
OVCAR-8 R2;PID3-0726B1;1;B;1404;H2O;7732-18-5;50;%;5;C008;C17;C45;3843680
OVCAR-8 R2;PID3-0726B3;3;B;1427;DMSO;67-68-5;0,1;%;5;C008;A5;F41;4065120
OVCAR-8 R2;PID3-0726B3;3;B;1427;H2O;7732-18-5;50;%;5;C008;C18;F41;4065120
OVCAR-8 R2;PID3-0726B2;2;B;1506;DMSO;67-68-5;0,1;%;5;C008;A20;Y7;3774480
OVCAR-8 R2;PID3-0726B2;2;B;1506;H2O;7732-18-5;50;%;5;C008;C20;Y7;3774480
OVCAR-8 R2;PID3-0726B1;1;B;1517;DMSO;67-68-5;0,1;%;5;C008;A1;L12;4051360
