Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R2;PID3-0726B2;2;B;359;DMSO;67-68-5;0,2;%;10;C008;A10;V26;3686000
OVCAR-8 R2;PID3-0726B3;3;B;427;DMSO;67-68-5;0,2;%;10;C008;A2;P22;4109480
OVCAR-8 R2;PID3-0726B3;3;B;509;DMSO;67-68-5;0,2;%;10;C008;A19;J10;3712400
OVCAR-8 R2;PID3-0726B3;3;B;704;DMSO;67-68-5;0,2;%;10;C008;A1;N27;4113920
OVCAR-8 R2;PID3-0726B2;2;B;946;DMSO;67-68-5;0,2;%;10;C008;A13;E38;3953520
OVCAR-8 R2;PID3-0726B3;3;B;1088;DMSO;67-68-5;0,2;%;10;C008;A5;K8;3506040
OVCAR-8 R2;PID3-0726B2;2;B;1269;DMSO;67-68-5;0,2;%;10;C008;A2;I27;3799680
OVCAR-8 R2;PID3-0726B2;2;B;1295;DMSO;67-68-5;0,2;%;10;C008;A5;AB43;4422160
OVCAR-8 R2;PID3-0726B2;2;B;1396;DMSO;67-68-5;0,2;%;10;C008;A24;V20;4068880
OVCAR-8 R2;PID3-0726B2;2;B;1478;DMSO;67-68-5;0,2;%;10;C008;A18;B45;3799600
OVCAR-8 R2;PID3-0726B1;1;B;1565;DMSO;67-68-5;0,2;%;10;C008;A16;S10;3955120
OVCAR-8 R2;PID3-0726B2;2;B;1641;DMSO;67-68-5;0,2;%;10;C008;A8;I41;3723120
OVCAR-8 R2;PID3-0726B1;1;B;1660;DMSO;67-68-5;0,2;%;10;C008;A13;R24;3962960
OVCAR-8 R2;PID3-0726B1;1;B;1997;DMSO;67-68-5;0,2;%;10;C008;A15;AC7;4303960
OVCAR-8 R2;PID3-0726B1;1;B;2234;DMSO;67-68-5;0,2;%;10;C008;A4;E31;4000680
OVCAR-8 R2;PID3-0726B3;3;B;2819;DMSO;67-68-5;0,2;%;10;C008;A15;K45;4226760
OVCAR-8 R2;PID3-0726B2;2;B;2890;DMSO;67-68-5;0,2;%;10;C008;A15;AE26;4164480
OVCAR-8 R2;PID3-0726B1;1;B;2911;DMSO;67-68-5;0,2;%;10;C008;A19;P32;4237160
OVCAR-8 R2;PID3-0726B1;1;B;2934;DMSO;67-68-5;0,2;%;10;C008;A24;G25;3956840
OVCAR-8 R2;PID3-0726B1;1;B;3220;DMSO;67-68-5;0,2;%;10;C008;A20;W4;4046240
OVCAR-8 R2;PID3-0726B3;3;B;3317;DMSO;67-68-5;0,2;%;10;C008;A22;G5;3885400
OVCAR-8 R2;PID3-0726B3;3;B;3413;DMSO;67-68-5;0,2;%;10;C008;A10;B43;3846760
OVCAR-8 R2;PID3-0726B1;1;B;3442;DMSO;67-68-5;0,2;%;10;C008;A17;K35;4198200
OVCAR-8 R2;PID3-0726B3;3;B;3529;DMSO;67-68-5;0,2;%;10;C008;A12;H35;4208280
