Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R2;PID3-0726B3;3;B;10;Untreated;NA;0;NA;NA;NA;NA;L46;4201920
OVCAR-8 R2;PID3-0726B1;1;B;261;Untreated;NA;0;NA;NA;NA;NA;U38;4319000
OVCAR-8 R2;PID3-0726B3;3;B;470;Untreated;NA;0;NA;NA;NA;NA;J28;4020080
OVCAR-8 R2;PID3-0726B1;1;B;729;Untreated;NA;0;NA;NA;NA;NA;S40;4377120
OVCAR-8 R2;PID3-0726B2;2;B;789;Untreated;NA;0;NA;NA;NA;NA;M44;4144480
OVCAR-8 R2;PID3-0726B3;3;B;798;Untreated;NA;0;NA;NA;NA;NA;Q21;4127040
OVCAR-8 R2;PID3-0726B1;1;B;979;Untreated;NA;0;NA;NA;NA;NA;R39;4371400
OVCAR-8 R2;PID3-0726B2;2;B;1131;Untreated;NA;0;NA;NA;NA;NA;L20;4035040
OVCAR-8 R2;PID3-0726B3;3;B;1156;Untreated;NA;0;NA;NA;NA;NA;B9;3850160
OVCAR-8 R2;PID3-0726B2;2;B;1198;Untreated;NA;0;NA;NA;NA;NA;B16;3816600
OVCAR-8 R2;PID3-0726B1;1;B;1297;Untreated;NA;0;NA;NA;NA;NA;B42;3742480
OVCAR-8 R2;PID3-0726B3;3;B;1311;Untreated;NA;0;NA;NA;NA;NA;M18;3525120
OVCAR-8 R2;PID3-0726B3;3;B;1335;Untreated;NA;0;NA;NA;NA;NA;N33;4096440
OVCAR-8 R2;PID3-0726B2;2;B;1338;Untreated;NA;0;NA;NA;NA;NA;AD22;4169320
OVCAR-8 R2;PID3-0726B2;2;B;1379;Untreated;NA;0;NA;NA;NA;NA;P39;4224160
OVCAR-8 R2;PID3-0726B3;3;B;1418;Untreated;NA;0;NA;NA;NA;NA;J4;3880560
OVCAR-8 R2;PID3-0726B2;2;B;1889;Untreated;NA;0;NA;NA;NA;NA;AE17;4220560
OVCAR-8 R2;PID3-0726B1;1;B;2077;Untreated;NA;0;NA;NA;NA;NA;C27;3898920
OVCAR-8 R2;PID3-0726B3;3;B;2170;Untreated;NA;0;NA;NA;NA;NA;S11;3938760
OVCAR-8 R2;PID3-0726B1;1;B;2406;Untreated;NA;0;NA;NA;NA;NA;AE22;4340800
OVCAR-8 R2;PID3-0726B2;2;B;2427;Untreated;NA;0;NA;NA;NA;NA;G36;4092280
OVCAR-8 R2;PID3-0726B2;2;B;2944;Untreated;NA;0;NA;NA;NA;NA;AA36;4275120
OVCAR-8 R2;PID3-0726B1;1;B;3523;Untreated;NA;0;NA;NA;NA;NA;M25;3993400
OVCAR-8 R2;PID3-0726B1;1;B;3549;Untreated;NA;0;NA;NA;NA;NA;T22;4149120
