Sample;Destination.Plate.Barcode;Plate.Number;Dispensing.Set;Combination.ID;Drug;CAS.number;Drug.Concentration;Unit;Transfer.Volume;Source.Plate.Barcode;Source.Well;Destination.Well;CPS
OVCAR-8 R3;PID3-0726C3;3;C;282;H2O;7732-18-5;100;%;10;C008;C2;K35;3361760
OVCAR-8 R3;PID3-0726C1;1;C;334;H2O;7732-18-5;100;%;10;C008;C3;R34;3141000
OVCAR-8 R3;PID3-0726C1;1;C;378;H2O;7732-18-5;100;%;10;C008;C4;K25;3035760
OVCAR-8 R3;PID3-0726C2;2;C;529;H2O;7732-18-5;100;%;10;C008;C7;R25;3112160
OVCAR-8 R3;PID3-0726C2;2;C;644;H2O;7732-18-5;100;%;10;C008;C9;Q3;2845560
OVCAR-8 R3;PID3-0726C3;3;C;862;H2O;7732-18-5;100;%;10;C008;C11;B19;2617520
OVCAR-8 R3;PID3-0726C3;3;C;1106;H2O;7732-18-5;100;%;10;C008;C14;S6;3492240
OVCAR-8 R3;PID3-0726C3;3;C;1276;H2O;7732-18-5;100;%;10;C008;C15;O45;3275720
OVCAR-8 R3;PID3-0726C1;1;C;1349;H2O;7732-18-5;100;%;10;C008;C16;O28;3097960
OVCAR-8 R3;PID3-0726C3;3;C;1459;H2O;7732-18-5;100;%;10;C008;C19;J6;3054400
OVCAR-8 R3;PID3-0726C1;1;C;1998;H2O;7732-18-5;100;%;10;C008;C24;Q43;3120680
OVCAR-8 R3;PID3-0726C1;1;C;2195;H2O;7732-18-5;100;%;10;C008;C3;Q38;3276800
OVCAR-8 R3;PID3-0726C3;3;C;2511;H2O;7732-18-5;100;%;10;C008;C9;B12;2636640
OVCAR-8 R3;PID3-0726C2;2;C;2635;H2O;7732-18-5;100;%;10;C008;C12;J40;3068680
OVCAR-8 R3;PID3-0726C2;2;C;2751;H2O;7732-18-5;100;%;10;C008;C13;R23;2794240
OVCAR-8 R3;PID3-0726C2;2;C;2812;H2O;7732-18-5;100;%;10;C008;C17;E2;2379200
OVCAR-8 R3;PID3-0726C3;3;C;3030;H2O;7732-18-5;100;%;10;C008;C22;F5;3132000
OVCAR-8 R3;PID3-0726C2;2;C;3060;H2O;7732-18-5;100;%;10;C008;C1;R10;2935120
OVCAR-8 R3;PID3-0726C1;1;C;3117;H2O;7732-18-5;100;%;10;C008;C2;D4;2428680
OVCAR-8 R3;PID3-0726C2;2;C;3198;H2O;7732-18-5;100;%;10;C008;C6;E27;2667240
OVCAR-8 R3;PID3-0726C1;1;C;3202;H2O;7732-18-5;100;%;10;C008;C7;AC3;3158200
OVCAR-8 R3;PID3-0726C2;2;C;3303;H2O;7732-18-5;100;%;10;C008;C8;K29;2946640
OVCAR-8 R3;PID3-0726C1;1;C;3322;H2O;7732-18-5;100;%;10;C008;C10;J19;2896920
OVCAR-8 R3;PID3-0726C3;3;C;3347;H2O;7732-18-5;100;%;10;C008;C11;S28;3486600
