,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,,,,,,,,,,,,,,,,,,,,,,,,
B,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
C,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
D,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
E,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
F,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
G,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
H,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
I,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
J,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
K,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
L,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
M,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
N,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
O,,BzCl,DMSO,Gemcitabine,Gemcitabine,Gemcitabine,Cladribine,Cladribine,Cladribine,Cytarabine,Cytarabine,Cytarabine,LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2603618 (Rabusertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),LY2606368 (Prexasertib),SHC900776 (MK-8776),SHC900776 (MK-8776),SHC900776 (MK-8776),DMSO,BzCl,
P,,,,,,,,,,,,,,,,,,,,,,,,
