Number;Drug;6th Dose;5th Dose;4th Dose;3rd Dose;2nd Dose;1st Dose;Unit
1;Afatinib (BIBW2992);14000;7000;3500;1750;875;437,5;nM
2;Binimetinib (MEK162);20000;10000;1428,57142857143;204,081632653061;29,1545189504373;4,1649312786339;nM
3;Cerdulatinib (PRT062070, PRT2070);20000;10000;5000;2500;1250;625;nM
4;Cobimetinib;20000;10000;1428,57142857143;204,081632653061;29,1545189504373;4,1649312786339;nM
5;Crizotinib (PF-02341066);20000;10000;5000;2500;1250;625;nM
6;Dabrafenib ;20000;10000;5000;2500;1250;625;nM
7;Dasatinib (BMS-354825);20000;10000;1000;100;10;1;nM
8;Defactinib (VS-6063, PF-04554878);20000;10000;5000;2500;1250;625;nM
9;Dexamethasone;20000;10000;5000;2500;1250;625;nM
10;Entrektinib (RXDX-101);20000;10000;3333,33333333333;1111,11111111111;370,37037037037;123,456790123457;nM
11;Erlotinib;20000;10000;2500;625;156,25;39,0625;nM
12;Flavopiridol (L86-8275) HCl;5000;2500;833,333333333333;277,777777777778;92,5925925925926;30,8641975308642;nM
13;Fludarabine (Fludara);20000;10000;5000;2500;1250;625;nM
14;Gemcitabine (LY-188011) HCl;12000;6000;1500;375;93,75;23,4375;nM
15;Lapatinib Ditosylate (Tykerb);20000;10000;1428,57142857143;204,081632653061;29,1545189504373;4,1649312786339;nM
16;Metformin;20000;10000;5000;2500;1250;625;nM
17;MK-2206 2HCl;20000;10000;2000;400;80;16;nM
18;Navitoclax (ABT-263);20000;10000;5000;2500;1250;625;nM
19;Niclosamide (BAY2353);20000;10000;2500;625;156,25;39,0625;nM
20;Niraparib (MK-4827);20000;10000;5000;2500;1250;625;nM
21;Olaparib (AZD2281);20000;10000;5000;2500;1250;625;nM
22;Paclitaxel (NSC 125973);8000;4000;500;62,5;7,8125;0,9765625;nM
23;Palbociclib;20000;10000;5000;2500;1250;625;nM
24;Panobinostat (LBH589);4000;2000;400;80;16;3,2;nM
25;Pictilisib (GDC-0941);20000;10000;1666,66666666667;277,777777777778;46,2962962962963;7,71604938271605;nM
26;Ruxolitinib (INCB018424);20000;10000;5000;2500;1250;625;nM
27;Selumetinib (AZD6244);20000;10000;3333,33333333333;1111,11111111111;370,37037037037;123,456790123457;nM
28;Sorafenib (Nexavar);16000;8000;4000;2000;1000;500;nM
29;Temsirolimus (CCI-779);2000;1000;100;10;1;0,1;nM
30;Trametinib (GSK1120212);16000;8000;800;80;8;0,8;nM
31;Vemurafenib (PLX4032);20000;10000;5000;2500;1250;625;nM
32;Venetoclax (ABT-199);20000;10000;5000;2500;1250;625;nM
33;Vinorelbine ditartrate (Navelbine);20000;10000;1000;100;10;1;nM
34;Abemaciclib (LY2835219);20000;10000;2000;400;80;16;nM
35;Adavosertib (MK-1775);16000;8000;2666,66666666667;888,888888888889;296,296296296296;98,7654320987654;nM
36;Alectinib (CH5424802);20000;10000;5000;2500;1250;625;nM
37;Alpelisib (BYL719);16000;8000;1600;320;64;12,8;nM
38;AZD7762;16000;8000;1600;320;64;12,8;nM
39;AZD8055;14000;7000;1000;142,857142857143;20,4081632653061;2,91545189504373;nM
40;Cucurbitacin I (JSI-124);12000;6000;1000;166,666666666667;27,7777777777778;4,62962962962963;nM
41;Everolimus (RAD001);800;400;40;4;0,4;0,04;nM
42;Flunarizine 2HCl;20000;10000;5000;2500;1250;625;nM
43;Gedatolisib (PKI-587);5000;2500;500;100;20;4;nM
44;Idasanutlin (RG-7388);20000;10000;5000;2500;1250;625;nM
45;LJH-685;20000;10000;5000;2500;1250;625;nM
46;Luminespib (NVP-AUY922);200;100;33,3333333333333;11,1111111111111;3,7037037037037;1,23456790123457;nM
47;Nutlin-3a;20000;10000;5000;2500;1250;625;nM
48;Quinacrine;20000;10000;5000;2500;1250;625;nM
49;Selpercatinib (LOXO-292);20000;10000;5000;2500;1250;625;nM
50;Simvastatin (MK 733);20000;10000;5000;2500;1250;625;nM
51;Tamoxifen (ICI 46474);20000;10000;5000;2500;1250;625;nM
52;Vismodegib (GDC-0449);20000;10000;5000;2500;1250;625;nM
53;Volasertib (BI 6727);20000;10000;1000;100;10;1;nM
54;Carboplatin (NSC 241240);20000;10000;5000;2500;1250;625;nM
55;TNKS1/2 inhibitor (OM-153);20000;10000;5000;2500;1250;625;nM
56;Mebendalzole;9000;4500;900;180;36;7,2;nM
57;Pertuzumab (anti-HER2);20000;10000;5000;2500;1250;625;nM
