NUMBER;NAME;CAS_NUMBER;SOLVENT
1;Afatinib (BIBW2992);850140-72-6;DMSO
2;Binimetinib (MEK162);606143-89-9;DMSO
3;Cerdulatinib (PRT062070, PRT2070);1198300-79-6;DMSO
4;Cobimetinib;934660-93-2;DMSO
5;Crizotinib (PF-02341066);877399-52-5;DMSO
6;Dabrafenib ;1195765-45-7;DMSO
7;Dasatinib (BMS-354825);302962-49-8;DMSO
8;Defactinib (VS-6063, PF-04554878);1073154-85-4;DMSO
9;Dexamethasone;50-02-2;DMSO
10;Entrektinib (RXDX-101);1108743-60-7;DMSO
11;Erlotinib;183321-74-6;DMSO
12;Flavopiridol (L86-8275) HCl;131740-09-5;DMSO
13;Fludarabine (Fludara);21679-14-1;DMSO
14;Gemcitabine (LY-188011) HCl;122111-03-9;DMSO
15;Lapatinib Ditosylate (Tykerb);231277-92-2;DMSO
16;Metformin;657-24-9;DMSO
17;MK-2206 2HCl;1032350-13-2;DMSO
18;Navitoclax (ABT-263);923564-51-6;DMSO
19;Niclosamide (BAY2353);50-65-7;DMSO
20;Niraparib (MK-4827);1038915-60-4;DMSO
21;Olaparib (AZD2281);763113-22-0;DMSO
22;Paclitaxel (NSC 125973);33069-62-4;DMSO
23;Palbociclib;571190-30-2;DMSO
24;Panobinostat (LBH589);404950-80-7;DMSO
25;Pictilisib (GDC-0941);957054-30-7;DMSO
26;Ruxolitinib (INCB018424);941678-49-5;DMSO
27;Selumetinib (AZD6244);606143-52-6;DMSO
28;Sorafenib (Nexavar);284461-73-0;DMSO
29;Temsirolimus (CCI-779);162635-04-3;DMSO
30;Trametinib (GSK1120212);871700-17-3;DMSO
31;Vemurafenib (PLX4032);918504-65-1;DMSO
32;Venetoclax (ABT-199);1257044-40-8;DMSO
33;Vinorelbine ditartrate (Navelbine);125317-39-7;DMSO
34;Abemaciclib (LY2835219);1231929-97-7;DMSO
35;Adavosertib (MK-1775);955365-80-7;DMSO
36;Alectinib (CH5424802);1256580-46-7;DMSO
37;Alpelisib (BYL719);1217486-61-7;DMSO
38;AZD7762;860352-01-8;DMSO
39;AZD8055;1009298-09-2;DMSO
40;Cucurbitacin I (JSI-124);2222-07-3;DMSO
41;Everolimus (RAD001);159351-69-6;DMSO
42;Flunarizine 2HCl;30484-77-6;DMSO
43;Gedatolisib (PKI-587);1197160-78-3;DMSO
44;Idasanutlin (RG-7388);1229705-06-9;DMSO
45;LJH-685;1627710-50-2;DMSO
46;Luminespib (NVP-AUY922);747412-49-3;DMSO
47;Nutlin-3a;675576-98-4;DMSO
48;Quinacrine;83-89-6;DMSO
49;Selpercatinib (LOXO-292);2152628-33-4;DMSO
50;Simvastatin (MK 733);79902-63-9;DMSO
51;Tamoxifen (ICI 46474);10540-29-1;DMSO
52;Vismodegib (GDC-0449);879085-55-9;DMSO
53;Volasertib (BI 6727);755038-65-4;DMSO
54;Carboplatin (NSC 241240);41575-94-4;H2O
55;TNKS1/2 inhibitor (OM-153);2406278-81-5;DMSO
56;Mebendalzole;31431-39-7;DMSO
57;Pertuzumab (anti-HER2);380610-27-5;DMSO
