NUMBER;NAME;CONCENTRATION;UNIT
1;Afatinib (BIBW2992);10;mM
2;Binimetinib (MEK162);10;mM
3;Cerdulatinib (PRT062070, PRT2070);10;mM
4;Cobimetinib;10;mM
5;Crizotinib (PF-02341066);10;mM
6;Dabrafenib ;10;mM
7;Dasatinib (BMS-354825);10;mM
8;Defactinib (VS-6063, PF-04554878);10;mM
9;Dexamethasone;10;mM
10;Entrektinib (RXDX-101);10;mM
11;Erlotinib;10;mM
12;Flavopiridol (L86-8275) HCl;10;mM
13;Fludarabine (Fludara);10;mM
14;Gemcitabine (LY-188011) HCl;10;mM
15;Lapatinib Ditosylate (Tykerb);10;mM
16;Metformin;10;mM
17;MK-2206 2HCl;10;mM
18;Navitoclax (ABT-263);10;mM
19;Niclosamide (BAY2353);10;mM
20;Niraparib (MK-4827);10;mM
21;Olaparib (AZD2281);10;mM
22;Paclitaxel (NSC 125973);10;mM
23;Palbociclib;10;mM
24;Panobinostat (LBH589);10;mM
25;Pictilisib (GDC-0941);10;mM
26;Ruxolitinib (INCB018424);10;mM
27;Selumetinib (AZD6244);10;mM
28;Sorafenib (Nexavar);10;mM
29;Temsirolimus (CCI-779);10;mM
30;Trametinib (GSK1120212);10;mM
31;Vemurafenib (PLX4032);10;mM
32;Venetoclax (ABT-199);10;mM
33;Vinorelbine ditartrate (Navelbine);10;mM
34;Abemaciclib (LY2835219);10;mM
35;Adavosertib (MK-1775);10;mM
36;Alectinib (CH5424802);10;mM
37;Alpelisib (BYL719);10;mM
38;AZD7762;10;mM
39;AZD8055;10;mM
40;Cucurbitacin I (JSI-124);10;mM
41;Everolimus (RAD001);10;mM
42;Flunarizine 2HCl;10;mM
43;Gedatolisib (PKI-587);5;mM
44;Idasanutlin (RG-7388);10;mM
45;LJH-685;10;mM
46;Luminespib (NVP-AUY922);10;mM
47;Nutlin-3a;10;mM
48;Quinacrine;10;mM
49;Selpercatinib (LOXO-292);10;mM
50;Simvastatin (MK 733);10;mM
51;Tamoxifen (ICI 46474);10;mM
52;Vismodegib (GDC-0449);10;mM
53;Volasertib (BI 6727);10;mM
54;Carboplatin (NSC 241240);10;mM
55;TNKS1/2 inhibitor (OM-153);10;mM
56;Mebendalzole;10;mM
57;Pertuzumab (anti-HER2);10;mM
