"Well","Drug","Concentration","Unit","PlateID"
"A1","DMSO",100,"%","C008"
"A2","DMSO",100,"%","C008"
"A3","DMSO",100,"%","C008"
"A4","DMSO",100,"%","C008"
"A5","DMSO",100,"%","C008"
"A6","DMSO",100,"%","C008"
"A7","DMSO",100,"%","C008"
"A8","DMSO",100,"%","C008"
"A9","DMSO",100,"%","C008"
"A10","DMSO",100,"%","C008"
"A11","DMSO",100,"%","C008"
"A12","DMSO",100,"%","C008"
"A13","DMSO",100,"%","C008"
"A14","DMSO",100,"%","C008"
"A15","DMSO",100,"%","C008"
"A16","DMSO",100,"%","C008"
"A17","DMSO",100,"%","C008"
"A18","DMSO",100,"%","C008"
"A19","DMSO",100,"%","C008"
"A20","DMSO",100,"%","C008"
"A21","DMSO",100,"%","C008"
"A22","DMSO",100,"%","C008"
"A23","DMSO",100,"%","C008"
"A24","DMSO",100,"%","C008"
"B1","BzCl",100,"mM","C008"
"B2","BzCl",100,"mM","C008"
"B3","BzCl",100,"mM","C008"
"B4","BzCl",100,"mM","C008"
"B5","BzCl",100,"mM","C008"
"B6","BzCl",100,"mM","C008"
"B7","BzCl",100,"mM","C008"
"B8","BzCl",100,"mM","C008"
"B9","BzCl",100,"mM","C008"
"B10","BzCl",100,"mM","C008"
"B11","BzCl",100,"mM","C008"
"B12","BzCl",100,"mM","C008"
"B13","BzCl",100,"mM","C008"
"B14","BzCl",100,"mM","C008"
"B15","BzCl",100,"mM","C008"
"B16","BzCl",100,"mM","C008"
"B17","BzCl",100,"mM","C008"
"B18","BzCl",100,"mM","C008"
"B19","BzCl",100,"mM","C008"
"B20","BzCl",100,"mM","C008"
"B21","BzCl",100,"mM","C008"
"B22","BzCl",100,"mM","C008"
"B23","BzCl",100,"mM","C008"
"B24","BzCl",100,"mM","C008"
"C1","H2O",100,"%","C008"
"C2","H2O",100,"%","C008"
"C3","H2O",100,"%","C008"
"C4","H2O",100,"%","C008"
"C5","H2O",100,"%","C008"
"C6","H2O",100,"%","C008"
"C7","H2O",100,"%","C008"
"C8","H2O",100,"%","C008"
"C9","H2O",100,"%","C008"
"C10","H2O",100,"%","C008"
"C11","H2O",100,"%","C008"
"C12","H2O",100,"%","C008"
"C13","H2O",100,"%","C008"
"C14","H2O",100,"%","C008"
"C15","H2O",100,"%","C008"
"C16","H2O",100,"%","C008"
"C17","H2O",100,"%","C008"
"C18","H2O",100,"%","C008"
"C19","H2O",100,"%","C008"
"C20","H2O",100,"%","C008"
"C21","H2O",100,"%","C008"
"C22","H2O",100,"%","C008"
"C23","H2O",100,"%","C008"
"C24","H2O",100,"%","C008"
"D1","TFA",5,"%","C008"
"D2","TFA",5,"%","C008"
"D3","TFA",5,"%","C008"
"D4","TFA",5,"%","C008"
"D5","TFA",5,"%","C008"
"D6","TFA",5,"%","C008"
"D7","TFA",5,"%","C008"
"D8","TFA",5,"%","C008"
"D9","TFA",5,"%","C008"
"D10","TFA",5,"%","C008"
"D11","TFA",5,"%","C008"
"D12","TFA",5,"%","C008"
"D13","TFA",5,"%","C008"
"D14","TFA",5,"%","C008"
"D15","TFA",5,"%","C008"
"D16","TFA",5,"%","C008"
"D17","TFA",5,"%","C008"
"D18","TFA",5,"%","C008"
"D19","TFA",5,"%","C008"
"D20","TFA",5,"%","C008"
"D21","TFA",5,"%","C008"
"D22","TFA",5,"%","C008"
"D23","TFA",5,"%","C008"
"D24","TFA",5,"%","C008"
"A1","Afatinib (BIBW2992)",7,"mM","M006"
"A2","Afatinib (BIBW2992)",3.5,"mM","M006"
"A3","Afatinib (BIBW2992)",1.75,"mM","M006"
"A4","Afatinib (BIBW2992)",0.875,"mM","M006"
"A5","Afatinib (BIBW2992)",0.4375,"mM","M006"
"A6","Binimetinib (MEK162)",10,"mM","M006"
"A7","Binimetinib (MEK162)",1.42857142857143,"mM","M006"
"A8","Binimetinib (MEK162)",0.204081632653061,"mM","M006"
"A9","Binimetinib (MEK162)",0.0291545189504373,"mM","M006"
"A10","Binimetinib (MEK162)",0.0041649312786339,"mM","M006"
"A11","Cerdulatinib (PRT062070, PRT2070)",10,"mM","M006"
"A12","Cerdulatinib (PRT062070, PRT2070)",5,"mM","M006"
"A13","Cerdulatinib (PRT062070, PRT2070)",2.5,"mM","M006"
"A14","Cerdulatinib (PRT062070, PRT2070)",1.25,"mM","M006"
"A15","Cerdulatinib (PRT062070, PRT2070)",0.625,"mM","M006"
"A16","Cobimetinib",10,"mM","M006"
"A17","Cobimetinib",1.42857142857143,"mM","M006"
"A18","Cobimetinib",0.204081632653061,"mM","M006"
"A19","Cobimetinib",0.0291545189504373,"mM","M006"
"A20","Cobimetinib",0.0041649312786339,"mM","M006"
"A21","Crizotinib (PF-02341066)",10,"mM","M006"
"A22","Crizotinib (PF-02341066)",5,"mM","M006"
"A23","Crizotinib (PF-02341066)",2.5,"mM","M006"
"A24","Crizotinib (PF-02341066)",1.25,"mM","M006"
"B1","Crizotinib (PF-02341066)",0.625,"mM","M006"
"B2","Dabrafenib ",10,"mM","M006"
"B3","Dabrafenib ",5,"mM","M006"
"B4","Dabrafenib ",2.5,"mM","M006"
"B5","Dabrafenib ",1.25,"mM","M006"
"B6","Dabrafenib ",0.625,"mM","M006"
"B7","Dasatinib (BMS-354825)",10,"mM","M006"
"B8","Dasatinib (BMS-354825)",1,"mM","M006"
"B9","Dasatinib (BMS-354825)",0.1,"mM","M006"
"B10","Dasatinib (BMS-354825)",0.01,"mM","M006"
"B11","Dasatinib (BMS-354825)",0.001,"mM","M006"
"B12","Defactinib (VS-6063, PF-04554878)",10,"mM","M006"
"B13","Defactinib (VS-6063, PF-04554878)",5,"mM","M006"
"B14","Defactinib (VS-6063, PF-04554878)",2.5,"mM","M006"
"B15","Defactinib (VS-6063, PF-04554878)",1.25,"mM","M006"
"B16","Defactinib (VS-6063, PF-04554878)",0.625,"mM","M006"
"B17","Dexamethasone",10,"mM","M006"
"B18","Dexamethasone",5,"mM","M006"
"B19","Dexamethasone",2.5,"mM","M006"
"B20","Dexamethasone",1.25,"mM","M006"
"B21","Dexamethasone",0.625,"mM","M006"
"B22","Entrektinib (RXDX-101)",10,"mM","M006"
"B23","Entrektinib (RXDX-101)",3.33333333333333,"mM","M006"
"B24","Entrektinib (RXDX-101)",1.11111111111111,"mM","M006"
"C1","Entrektinib (RXDX-101)",0.37037037037037,"mM","M006"
"C2","Entrektinib (RXDX-101)",0.123456790123457,"mM","M006"
"C3","Erlotinib",10,"mM","M006"
"C4","Erlotinib",2.5,"mM","M006"
"C5","Erlotinib",0.625,"mM","M006"
"C6","Erlotinib",0.15625,"mM","M006"
